functionallyの持つ意味はどれか,機能性,緻密,創作,痺れ,1,"functionally  機能性、機能的に、便利に."
diagramの持つ意味はどれか,地面,ガラス,図,風,3,"diagram  図、時刻表"
modernの持つ意味はどれか,新規的な,古典的な,想像上の,現代的な,4,"modern  現代的な、最新の"
utilityの持つ意味はどれか,機会,特殊な,役に立つ,覚える,3,"utikity  役に立つ、多目的の"
involveの持つ意味はどれか,進化する,含む,開ける,遡る,2,"involve  含む、熱中する"
properの持つ意味はどれか,鎖,網状の,重なり,適切な,4,"proper  適切な、固有の"
entireの持つ意味はどれか,全体の,一般の,雨天,結構する,1,"entire  全体の、無傷の"
relateの持つ意味はどれか,関連づける,見つける,遅刻する,包括する,1,"relate  関連づける、述べる"
primaryの持つ意味はどれか,真ん中,相当の,主要な,困難な,3,"primary  主要な、最初の"
interactの持つ意味はどれか,片時,相互に作用する,離れる,適する,2,"interact  相互に作用する、交流する"
criticalの持つ意味はどれか,範囲的な,対象,見定める,致命的な,4,"critical  致命的な、重大な"
distributeの持つ意味はどれか,旅行する,統括する,分配する,取り上げる,3,"distribute  分配する、供給する"
technicalの持つ意味はどれか,包括的な,合理的な,理性的な,技術的な,4,"technical  技術的な、専門的な"
organizationの持つ意味はどれか,起爆,隠蔽,組織,財閥,3,"organization  組織、構成"
Interpreterの持つ意味はどれか,旅行者,通訳者,操縦,未来人,2,"interpreter  通訳者、解説"
subsectionの持つ意味はどれか,書類,慣例,小区分,別居,3,"subsection  小区分、下位区分"
instructionの持つ意味はどれか,指示,上司,総括,綺麗な,1,"instruction  指示、説明書"
flexibleの持つ意味はどれか,フレッシュな,鈍足,融通のきく,蜃気楼,3,"flexible  融通のきく、柔軟な"
argumentの持つ意味はどれか,引き連れる,組織,引数,強引な,3,"argument  引数、議論"
margeの持つ意味はどれか,近隣の,統合する,本当の,引き合い,2,"merge 統合する、結合する"
abstractionの持つ意味はどれか,地球規模,立体化,具現化,抽象化,4,"abstraction  抽象化、冒頭"
processingの持つ意味はどれか,言伝,冷静な,空白,処理,4,"proccessing  処理、加工"
chartの持つ意味はどれか,影,海老,チート,図表,4,"chart  図表、海図"
physicsの持つ意味はどれか,オカルト,工学,物理計算,儀式,3,"physics  物理計算、物理学"
disableの持つ意味はどれか,無効にする,見えない,未解決の,希望的観測,1,"disable  無効にする、損傷する"
defectの持つ意味はどれか,欠陥,降下,高さ,溝,1,"defect  欠陥、障害"
adaptの持つ意味はどれか,早期的な,適応させる,地下施設,進化する,2,"adapt  適応させる、改作する"
headingの持つ意味はどれか,操作,見出し,明日,真似る,2,"heading  見出し、進行方向"
suspendの持つ意味はどれか,理解不能な,朦朧とする,一時的に止める,送信する,3,"suspend  一時的に止める、吊るす"
publishの持つ意味はどれか,異常をきたす,公開する,不可視な,口頭で,2,"publish  公開する、掲載する"
inheritanceの持つ意味はどれか,継承,天才,貯蔵,水流,1,"inheritance  継承、相続"
amongの持つ意味はどれか,半数,彗星,範囲外の,‾の間で,4,"among  ‾の間で、‾のうち一人"
regulationの持つ意味はどれか,鋭利な,規則,庭,暗黙,2,"regulation  規則、統制"
probabillityの持つ意味はどれか,定期,相対性,確率,絶対性,3,"probabillity  確率、見込み"
acquireの持つ意味はどれか,取得する,無視する,退く,大半の,1,"acquire  取得する、身に着ける"
concernの持つ意味はどれか,コラム,リスト,送信先,懸念事項,4,"concern  懸念事項、配慮"
allocationの持つ意味はどれか,人数,隠す,可視化する,割り当て,4,"allocation  割り当て、配置"
sufficientの持つ意味はどれか,消極的な,無知な,充分な,理不尽,3,"sufficient  充分な、有能な"
relativelyの持つ意味はどれか,相対的に,情動的な,浪費する,国際的な,1,"relatively  相対的に、割合"
dynamicの持つ意味はどれか,大ごと,静的な,金銭的な,動的な,4,"dynamic  動的な、活発な"
implyの持つ意味はどれか,提供する,前提とする,従順な,文化的な,2,"imply  前提とする、暗示する"
declarativeの持つ意味はどれか,宣言型,諦観,データリスト,言葉,1,"declarative  宣言型、陳述"
approximatelyの持つ意味はどれか,投影する,後衛,約,離れの,3,"approximately  約、おおよそ"
identificationの持つ意味はどれか,管轄外,帰路,識別,信号,3,"identification  識別、身分証明"
exploreの持つ意味はどれか,思考する,探索する,爆発させる,難度を下げる,2,"explore  探索する、検討する"
instantの持つ意味はどれか,退路,海図,統計上,即時の,4,"instant  即時の、緊急の"
hiddenの持つ意味はどれか,隠された,騙す,消え去る,消し去る,1,"hidden  隠された、見つけにくい"
improvementの持つ意味はどれか,均等に,屈強な,改善,偏屈な,3,"improvememt  改善、活用"
distinctionの持つ意味はどれか,形成,区別,元を取る,実行可能,2,"distinction  区別、差別"
directの持つ意味はどれか,直接,小ぎれいな,趣,見据える,1,"direct  直接、すぐ"
modifierの持つ意味はどれか,副詞,修飾子,論述,波立つ,2,"modifier  修飾子、修正"
previouslyの持つ意味はどれか,構成,眼前,眩む,前に,4,"previously  前に、以前に"
emulateの持つ意味はどれか,辿る,溶かす,真似る,捕まえる,3,"emulate  真似る、張り合う"
capabilityの持つ意味はどれか,機能,可能性,消す,低価格,1,"capability  機能、才能"
behindの持つ意味はどれか,超常的な,憔悴する,間接的に,まばらな,3,"behind  間接的に、劣勢"
simplifyの持つ意味はどれか,渡す,浸す,単純にする,闊歩する,3,"simplify  単純にする、簡単にする"
criterionの持つ意味はどれか,郷愁,基準,倫理的な,円状の,2,"criterion  基準、尺度"
respectiveの持つ意味はどれか,怠惰な,弔う,敏感な,それぞれの,4,"respective  それぞれの、各自の"
procedureの持つ意味はどれか,手続き,求める,時間をかける,貯める,1,"procedure  手続き、手順"
fundamentalの持つ意味はどれか,水準の,希少な,抜粋,根本的な,4,"fundamental  根本的な、必須の"
controllerの持つ意味はどれか,ペダル,カスタム,ディスプレイ,コントローラー,4,"controller  コントローラー、管理者"
initiateの持つ意味はどれか,起動する,除去する,諦観する,魅了する,1,"initiate  起動する、教える"
gradientの持つ意味はどれか,勾配,急性,猫舌,栽培,1,"gradient  勾配、変化量"
correspondingの持つ意味はどれか,混乱する,参上する,対応する,王子する,3,"corresponding  対応する、関連する"
verbの持つ意味はどれか,副詞,動詞,形容詞,主語,2,verb  動詞
establishの持つ意味はどれか,接近する,守る,大成する,設立する,4,"establish  設立する、設置する"
