functionallyの持つ意味はどれか,機能性,緻密,創作,痺れ,1
diagramの持つ意味はどれか,地面,ガラス,図,風,3
modernの持つ意味はどれか,新規的な,古典的な,想像上の,現代的な,4
utilityの持つ意味はどれか,機会,特殊な,役に立つ,覚える,3
involveの持つ意味はどれか,進化する,含む,開ける,遡る,2
properの持つ意味はどれか,鎖,網状の,重なり,適切な,4
entireの持つ意味はどれか,全体の,一般の,雨天,結構する,1
relateの持つ意味はどれか,関連づける,見つける,遅刻する,包括する,1
primaryの持つ意味はどれか,真ん中,相当の,主要な,困難な,3
interactの持つ意味はどれか,片時,相互に作用する,離れる,適する,2
criticalの持つ意味はどれか,範囲的な,対象,見定める,致命的な,4
distributeの持つ意味はどれか,旅行する,統括する,分配する,取り上げる,3
technicalの持つ意味はどれか,包括的な,合理的な,理性的な,技術的な,4
organizationの持つ意味はどれか,起爆,隠蔽,組織,財閥,3
Interpreterの持つ意味はどれか,旅行者,通訳者,操縦,未来人,2
subsectionの持つ意味はどれか,書類,慣例,小区分,別居,3
instructionの持つ意味はどれか,指示,上司,総括,綺麗な,1
flexibleの持つ意味はどれか,フレッシュな,鈍足,融通のきく,蜃気楼,3
argumentの持つ意味はどれか,引き連れる,組織,引数,強引な,3
margeの持つ意味はどれか,近隣の,統合する,本当の,引き合い,2
abstractionの持つ意味はどれか,地球規模,立体化,具現化,抽象化,4
processingの持つ意味はどれか,言伝,冷静な,空白,処理,4
chartの持つ意味はどれか,影,海老,チート,図表,4
physicsの持つ意味はどれか,オカルト,工学,物理計算,儀式,3
disableの持つ意味はどれか,無効にする,見えない,未解決の,希望的観測,1
defectの持つ意味はどれか,欠陥,降下,高さ,溝,1
adaptの持つ意味はどれか,早期的な,適応させる,地下施設,進化する,2
headingの持つ意味はどれか,操作,見出し,明日,真似る,2
suspendの持つ意味はどれか,理解不能な,朦朧とする,一時的に止める,送信する,3
publishの持つ意味はどれか,異常をきたす,公開する,不可視な,口頭で,2
inheritanceの持つ意味はどれか,継承,天才,貯蔵,水流,1
amongの持つ意味はどれか,半数,彗星,範囲外の,~の間で,4
regulationの持つ意味はどれか,鋭利な,規則,庭,暗黙,2
probabillityの持つ意味はどれか,定期,相対性,確率,絶対性,3
acquireの持つ意味はどれか,取得する,無視する,退く,大半の,1
concernの持つ意味はどれか,コラム,リスト,送信先,懸念事項,4
allocationの持つ意味はどれか,人数,隠す　,可視化する,割り当て,4
sufficientの持つ意味はどれか,消極的な,無知な,充分な,理不尽,3
relativelyの持つ意味はどれか,相対的に,情動的な,浪費する,国際的な,1
dynamicの持つ意味はどれか,大ごと,静的な,金銭的な,動的な,4
implyの持つ意味はどれか,提供する,前提とする,従順な,文化的な,2
declarativeの持つ意味はどれか,宣言型,諦観,データリスト,言葉,1
approximatelyの持つ意味はどれか,投影する,後衛,約,離れの,3
identificationの持つ意味はどれか,管轄外,帰路,識別,信号,3
exploreの持つ意味はどれか,思考する,探索する,爆発させる,難度を下げる,2
instantの持つ意味はどれか,退路,海図,統計上,即時の,4
hiddenの持つ意味はどれか,隠された,騙す,消え去る,消し去る,1
improvementの持つ意味はどれか,均等に,屈強な,改善,偏屈な,3
distinctionの持つ意味はどれか,形成,区別,元を取る,実行可能,2
directの持つ意味はどれか,直接,小ぎれいな,趣,見据える,1
modifierの持つ意味はどれか,副詞,修飾子,論述,波立つ,2
previouslyの持つ意味はどれか,構成,眼前,眩む,前に,4
emulateの持つ意味はどれか,辿る,溶かす,真似る,捕まえる,3
capabilityの持つ意味はどれか,機能,可能性,消す,低価格,1
behindの持つ意味はどれか,超常的な,憔悴する,間接的に,まばらな,3
simplifyの持つ意味はどれか,渡す,浸す,単純にする,闊歩する,3
criterionの持つ意味はどれか,郷愁,基準,倫理的な,円状の,2
respectiveの持つ意味はどれか,怠惰な,弔う,敏感な,それぞれの,3
procedureの持つ意味はどれか,手続き,求める,時間をかける,貯める,1
fundamentalの持つ意味はどれか,水準の,希少な,抜粋,根本的な,4
controllerの持つ意味はどれか,ペダル,カスタム,ディスプレイ,コントローラー,4
initiateの持つ意味はどれか,起動する,除去する,諦観する,魅了する,1
gradientの持つ意味はどれか,勾配,急性,猫舌,栽培,1
correspondingの持つ意味はどれか,混乱する,参上する,対応する,王子する,3
verbの持つ意味はどれか,副詞,動詞,形容詞,主語,2
establishの持つ意味はどれか,接近する,守る,大成する,設立する,4
identifierの持つ意味はどれか,未確認,識別子,装甲,主な,2
optimizeの持つ意味はどれか,尊敬する,最適化,宗教的な,浸透,2
optionallyの持つ意味はどれか,強欲な,魅力的な,放任する,任意に,4
categorizeの持つ意味はどれか,集合する,忘れる,分類する,見放す,3
priorの持つ意味はどれか,事前の,優先事項,背信,放棄,1
quoteの持つ意味はどれか,保管する,引用する,解散する,大義の,2
emphasisの持つ意味はどれか,強調する,登頂する,訂正する,命令する,1
executableの持つ意味はどれか,言語的な,妄言,実行可能な,最低限の,3
chunkの持つ意味はどれか,バグ,バージョン,飽和,かたまり,4
reproduceの持つ意味はどれか,廃止する,再現する,構成する,害する,2
minifyの持つ意味はどれか,縮小する,疲労困憊,焦点を合わせる,拡大する,1
comprehensiveの持つ意味はどれか,指定された,記録的な,美麗な,包括的な,4
accesibleの持つ意味はどれか,手続き,宣言型,アクセス可能な,記念すべき,3
computationの持つ意味はどれか,生産,計算,工業,揚力,2
electronicの持つ意味はどれか,信用性,反発,電子の,音楽性,3
deploymentの持つ意味はどれか,圧縮,改竄,展開,改正,3
asynchronousの持つ意味はどれか,季節的な,生物学上の,共通の,非同期な,4
paragraphの持つ意味はどれか,段落,章,タイトル,一文,1
floechartの持つ意味はどれか,流れ図,航海図,理想的な,処理限界,1
communicationの持つ意味はどれか,速度,濃度,日照,通信,4
